Ablation,Config,Mask,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Train Time (s),Avg Epoch Time (s),Train FPS (img/s),Parameters,HEAD_MODE,N_LEVELS
A3_subband_L7,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",42,42,0.4452938735485077,0.9598214030265808,0.959347453581636,0.6233779788017273,0.8999999761581421,0.898674117485352,308.98709750175476,10.291381963094075,435.31568608236756,267864,multilevel_details,7
A3_subband_L7,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",43,43,0.5529747605323792,0.9116071462631226,0.9102846408663353,0.7190262675285339,0.8550000190734863,0.8496988362275882,224.5935823917389,10.199425946582448,439.2404066133866,267864,multilevel_details,7
A3_subband_L7,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",44,44,0.5130453109741211,0.9330357313156128,0.9318141944955596,0.6537019610404968,0.8787500262260437,0.8751504855968666,333.4753291606903,11.10761272907257,403.32698927054304,267864,multilevel_details,7
A3_subband_L7,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",45,45,0.5031160116195679,0.9348214268684387,0.9331062113978061,0.632455587387085,0.8956249952316284,0.8931419768602042,366.2444667816162,12.197978703180949,367.27396472923175,267864,multilevel_details,7
A3_subband_L7,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",46,46,0.44981175661087036,0.9571428298950195,0.9560474381652962,0.6155136227607727,0.8993750214576721,0.8970908410536601,311.6849241256714,10.382821369171143,431.48194895292096,267864,multilevel_details,7
A3_subband_L7,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",42,42,0.4675765931606293,0.9517857432365417,0.9501313483474797,0.6199370622634888,0.8999999761581421,0.8976830543580213,317.5945210456848,10.578299148877461,423.50853733186443,267864,multilevel_details,7
A3_subband_L7,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",43,43,0.6235939860343933,0.8803571462631226,0.876638929569964,0.8088275194168091,0.815625011920929,0.806774379061696,192.37189936637878,10.67798728413052,419.5547232630737,267864,multilevel_details,7
A3_subband_L7,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",44,44,0.5149580240249634,0.9294642806053162,0.9283039387632779,0.657329797744751,0.8831250071525574,0.8799122347089177,297.1448185443878,9.897137753168742,452.6561225810613,267864,multilevel_details,7
A3_subband_L7,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",45,45,0.44097334146499634,0.9633928537368774,0.9629493011813111,0.5873057842254639,0.921875,0.9202368019604917,326.1043403148651,10.861704548199972,412.45828222628614,267864,multilevel_details,7
A3_subband_L7,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",46,46,0.5085788369178772,0.9285714030265808,0.9246168954807299,0.6681454181671143,0.8687499761581421,0.8646611918973988,318.10069370269775,10.595473782221477,422.82205516068115,267864,multilevel_details,7
A3_subband_L7,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",42,42,0.534081757068634,0.9285714030265808,0.9271778986671226,0.7115851640701294,0.8587499856948853,0.8539590364635035,238.89937329292297,10.850749145854603,412.8747185821294,267864,multilevel_details,7
A3_subband_L7,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",43,43,0.46580564975738525,0.9553571343421936,0.9546039612874202,0.6287236213684082,0.90625,0.9040417253787059,317.47233486175537,10.575766928990681,423.609940544289,267864,multilevel_details,7
A3_subband_L7,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",44,44,0.4313555955886841,0.96875,0.9682987086448894,0.5959738492965698,0.9106249809265137,0.9087295375835704,307.6645562648773,10.24567089875539,437.2578471697949,267864,multilevel_details,7
A3_subband_L7,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",45,45,0.46081364154815674,0.9589285850524902,0.9584982518411082,0.6164441704750061,0.9081249833106995,0.9059839958778101,314.80727767944336,10.848155473840647,412.97343228561925,267864,multilevel_details,7
A3_subband_L7,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",46,46,0.44824540615081787,0.9544642567634583,0.9532342954655043,0.6234588027000427,0.8987500071525574,0.8958780360507406,332.5355246067047,11.076819284756978,404.4482341754021,267864,multilevel_details,7
